E:\car2\IMG\center_2020_03_23_10_29_58_836.jpg,E:\car2\IMG\left_2020_03_23_10_29_58_836.jpg,E:\car2\IMG\right_2020_03_23_10_29_58_836.jpg,0,0,0,2.019434E-05
E:\car2\IMG\center_2020_03_23_10_29_58_919.jpg,E:\car2\IMG\left_2020_03_23_10_29_58_919.jpg,E:\car2\IMG\right_2020_03_23_10_29_58_919.jpg,0,0,0,1.218827E-06
E:\car2\IMG\center_2020_03_23_10_29_59_014.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_014.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_014.jpg,0,0,0,2.869973E-06
E:\car2\IMG\center_2020_03_23_10_29_59_137.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_137.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_137.jpg,0,0,0,8.322582E-06
E:\car2\IMG\center_2020_03_23_10_29_59_258.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_258.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_258.jpg,0,0,0,1.52324E-05
E:\car2\IMG\center_2020_03_23_10_29_59_384.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_384.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_384.jpg,0,0,0,3.795366E-05
E:\car2\IMG\center_2020_03_23_10_29_59_501.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_501.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_501.jpg,0,0,0,2.42805E-05
E:\car2\IMG\center_2020_03_23_10_29_59_621.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_621.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_621.jpg,0,0,0,1.955631E-05
E:\car2\IMG\center_2020_03_23_10_29_59_746.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_746.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_746.jpg,0,0,0,2.547758E-05
E:\car2\IMG\center_2020_03_23_10_29_59_867.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_867.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_867.jpg,0,0,0,7.730981E-06
E:\car2\IMG\center_2020_03_23_10_29_59_990.jpg,E:\car2\IMG\left_2020_03_23_10_29_59_990.jpg,E:\car2\IMG\right_2020_03_23_10_29_59_990.jpg,0,0,0,4.863297E-06
E:\car2\IMG\center_2020_03_23_10_30_00_110.jpg,E:\car2\IMG\left_2020_03_23_10_30_00_110.jpg,E:\car2\IMG\right_2020_03_23_10_30_00_110.jpg,0,0,0,1.899471E-05
E:\car2\IMG\center_2020_03_23_10_30_00_244.jpg,E:\car2\IMG\left_2020_03_23_10_30_00_244.jpg,E:\car2\IMG\right_2020_03_23_10_30_00_244.jpg,0,0.4009785,0,0.5022889
E:\car2\IMG\center_2020_03_23_10_30_00_357.jpg,E:\car2\IMG\left_2020_03_23_10_30_00_357.jpg,E:\car2\IMG\right_2020_03_23_10_30_00_357.jpg,0,0.7087653,0,1.259648
E:\car2\IMG\center_2020_03_23_10_30_00_464.jpg,E:\car2\IMG\left_2020_03_23_10_30_00_464.jpg,E:\car2\IMG\right_2020_03_23_10_30_00_464.jpg,0,1,0,2.582654
E:\car2\IMG\center_2020_03_23_10_30_00_586.jpg,E:\car2\IMG\left_2020_03_23_10_30_00_586.jpg,E:\car2\IMG\right_2020_03_23_10_30_00_586.jpg,0,1,0,3.990704
E:\car2\IMG\center_2020_03_23_10_30_00_708.jpg,E:\car2\IMG\left_2020_03_23_10_30_00_708.jpg,E:\car2\IMG\right_2020_03_23_10_30_00_708.jpg,0,1,0,5.388617
E:\car2\IMG\center_2020_03_23_10_30_00_827.jpg,E:\car2\IMG\left_2020_03_23_10_30_00_827.jpg,E:\car2\IMG\right_2020_03_23_10_30_00_827.jpg,0,1,0,6.770029
E:\car2\IMG\center_2020_03_23_10_30_00_948.jpg,E:\car2\IMG\left_2020_03_23_10_30_00_948.jpg,E:\car2\IMG\right_2020_03_23_10_30_00_948.jpg,-0.3,1,0,8.113348
E:\car2\IMG\center_2020_03_23_10_30_01_068.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_068.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_068.jpg,0,1,0,9.455009
E:\car2\IMG\center_2020_03_23_10_30_01_191.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_191.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_191.jpg,0,1,0,10.78873
E:\car2\IMG\center_2020_03_23_10_30_01_320.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_320.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_320.jpg,-0.15,1,0,11.86556
E:\car2\IMG\center_2020_03_23_10_30_01_433.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_433.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_433.jpg,-0.45,1,0,13.33197
E:\car2\IMG\center_2020_03_23_10_30_01_560.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_560.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_560.jpg,0,1,0,14.53053
E:\car2\IMG\center_2020_03_23_10_30_01_630.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_630.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_630.jpg,0,1,0,15.40578
E:\car2\IMG\center_2020_03_23_10_30_01_703.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_703.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_703.jpg,-0.15,1,0,16.08593
E:\car2\IMG\center_2020_03_23_10_30_01_829.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_829.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_829.jpg,-0.5000001,1,0,17.39564
E:\car2\IMG\center_2020_03_23_10_30_01_897.jpg,E:\car2\IMG\left_2020_03_23_10_30_01_897.jpg,E:\car2\IMG\right_2020_03_23_10_30_01_897.jpg,-0.6500001,1,0,17.94934
E:\car2\IMG\center_2020_03_23_10_30_02_008.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_008.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_008.jpg,0,1,0,19.14084
E:\car2\IMG\center_2020_03_23_10_30_02_119.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_119.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_119.jpg,0,1,0,20.10096
E:\car2\IMG\center_2020_03_23_10_30_02_238.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_238.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_238.jpg,-0.15,1,0,21.31198
E:\car2\IMG\center_2020_03_23_10_30_02_376.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_376.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_376.jpg,-0.5000001,0.5910757,0,22.10589
E:\car2\IMG\center_2020_03_23_10_30_02_484.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_484.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_484.jpg,-0.7500002,0.2729287,0,22.03764
E:\car2\IMG\center_2020_03_23_10_30_02_636.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_636.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_636.jpg,0,0,0,21.63276
E:\car2\IMG\center_2020_03_23_10_30_02_729.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_729.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_729.jpg,0,0,0,21.52862
E:\car2\IMG\center_2020_03_23_10_30_02_836.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_836.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_836.jpg,-0.25,0,0,21.13748
E:\car2\IMG\center_2020_03_23_10_30_02_977.jpg,E:\car2\IMG\left_2020_03_23_10_30_02_977.jpg,E:\car2\IMG\right_2020_03_23_10_30_02_977.jpg,-0.6000001,0,0,20.81781
E:\car2\IMG\center_2020_03_23_10_30_03_055.jpg,E:\car2\IMG\left_2020_03_23_10_30_03_055.jpg,E:\car2\IMG\right_2020_03_23_10_30_03_055.jpg,0,0,0,20.6374
E:\car2\IMG\center_2020_03_23_10_30_03_164.jpg,E:\car2\IMG\left_2020_03_23_10_30_03_164.jpg,E:\car2\IMG\right_2020_03_23_10_30_03_164.jpg,0,0,0,20.4089
E:\car2\IMG\center_2020_03_23_10_30_03_279.jpg,E:\car2\IMG\left_2020_03_23_10_30_03_279.jpg,E:\car2\IMG\right_2020_03_23_10_30_03_279.jpg,0,0,0,19.87394
